adres,y,x
adres1,23.141401,53.142928
adres2,23.150168,53.125021
adres3,23.094750,53.157217
adres4,23.095895,53.149964
adres5,23.198124,53.106625
adres6,23.175494,53.125748
adres7,23.147174,53.117526
adres8,23.135313,53.13227
adres9,23.165609,53.131947
adres10,23.119271,53.135303
adres11,23.086826,53.115631
adres13,23.139359,53.128257
adres14,23.102596,53.127781
adres15,23.1276427,53.10948
adres16,23.1292821,53.14198
adres17,23.0967974,53.11990
adres18,23.1837065,53.12927
adres19,23.0917050,53.13293
adres20,23.1364725,53.11795
adres21,23.1818254,53.15682
adres22,23.1179046,53.14953
adres23,23.1186282,53.10971
adres24,23.091748,53.13297
adres25,23.163625,53.12544
adres26,23.1526444,53.14952
adres27,23.1418043,53.14091
adres28,23.1185424,53.10976
adres29,23.1046029,53.12156
adres30,23.1052469,53.13364
adres31,23.1195243,53.15114
adres32,23.1893553,53.13303
adres33,23.1799788,53.14438
adres34,23.1526817,53.13482
adres35,23.1033657,53.15339
adres36,23.2148595,53.14855
adres37,23.1922476,53.13422
adres38,23.1713770,53.14057
adres39,23.1096331,53.14576
adres40,23.2099432,53.09657
adres41,23.0968833,53.11990
adres42,23.189409,53.13305
adres43,23.1104201,53.14684
adres44,23.2033507,53.16364
adres45,23.1750578,53.12541
adres46,23.1882036,53.14652
adres47,23.1515003,53.14286
adres48,23.1669932,53.13951
adres49,23.1280247,53.13960
adres50,23.1617851,53.14191
adres51,23.1860645,53.12845
adres52,23.1071385,53.13138
adres53,23.1489882,53.12133
adres54,23.1588648,53.12421
adres55,23.1672785,53.13506
adres56,23.1855175,53.13605
adres57,23.0907603,53.15110
adres58,23.148158,53.13204
adres59,23.0911279,53.12422
adres61,23.1488021,53.11265
adres62,23.1397853,53.11833
adres63,23.1498906,53.14368
adres64,23.1823705,53.13637
adres65,23.1462155,53.13193
adres67,23.1628877,53.12392
adres68,23.1269545,53.13711
adres69,23.1415394,53.13073
adres70,23.1550532,53.15305
adres71,23.1213982,53.1448
adres72,23.1348051,53.14030
adres73,23.079993,53.12148
adres74,23.2085683,53.11923
adres75,23.158987,53.13695
adres76,23.1813583,53.11819
adres77,23.1694363,53.1228
adres78,23.1551346,53.13763
adres79,23.1363648,53.14514
adres80,23.1563916,53.12680
adres81,23.1249632,53.15611
adres82,23.1610382,53.13519
adres83,23.1559062,53.12887
adres84,23.1534234,53.13915
adres85,23.1192814,53.12643
adres86,23.0985886,53.11976
adres87,23.138531,53.10928
adres88,23.1218617,53.13114
adres89,23.171337,53.13367
adres90,23.168046,53.137897
adres91,23.133867,53.152850
adres92,23.107781,53.129129
adres93,23.143568,53.132311
adres94,23.140052,53.121543
adres95,23.161276,53.127962
adres96,23.169502,53.135145
adres97,23.175957,53.136528
adres98,23.190543,53.108781
adres100,23.157544,53.11977
adres101,23.13913,53.123441
adres102,23.196293,53.125158
adres103,23.130262,53.149131
adres104,23.122609,53.153716
adres105,23.124762,53.106136
adres106,23.128334,53.153810
adres107,23.214817,53.148383
adres108,23.171809,53.138199
adres109,23.153981,53.122441
adres110,23.13589,53.101701


