adres,y,x
adres1,23.141401,53.142928
adres2,23.150168,53.125021
adres3,23.094750,53.157217
adres4,23.095895,53.149964
adres5,23.198124,53.106625
adres6,23.175494,53.125748
adres7,23.147174,53.117526
adres8,23.135313,53.13227
adres9,23.165609,53.131947
adres10,23.119271,53.135303
adres11,23.086826,53.115631
adres13,23.139359,53.128257
adres14,23.102596,53.127781
adres15,23.1276427,53.10948
adres16,23.1292821,53.14198
adres17,23.0967974,53.11990
adres18,23.1837065,53.12927
adres19,23.0917050,53.13293
adres20,23.1364725,53.11795
adres21,23.1818254,53.15682
adres22,23.1179046,53.14953
adres23,23.1186282,53.10971
adres24,23.091748,53.13297
adres25,23.163625,53.12544
adres26,23.1526444,53.14952
adres27,23.1418043,53.14091
adres28,23.1185424,53.10976
adres29,23.1046029,53.12156
adres30,23.1052469,53.13364
adres31,23.1195243,53.15114
adres32,23.1893553,53.13303
adres33,23.1799788,53.14438
adres34,23.1526817,53.13482
adres35,23.1033657,53.15339
adres36,23.2148595,53.14855
adres37,23.1922476,53.13422
adres38,23.1713770,53.14057
adres39,23.1096331,53.14576
adres40,23.2099432,53.09657
adres41,23.0968833,53.11990
adres42,23.189409,53.13305
adres43,23.1104201,53.14684
adres44,23.2033507,53.16364
adres45,23.1750578,53.12541
adres46,23.1882036,53.14652
adres47,23.1515003,53.14286
adres48,23.1669932,53.13951
adres49,23.1280247,53.13960
adres50,23.1617851,53.14191


